Word,Class
RT @Patt_Bentancur: @zzachbarness @AGrisbhy @WhiteboiColeman had to help my Gma move bitch!,Offensive
RT @PattyChocMilk: #teabagger math http://t.co/lOiZi6fM6U,Offensive
RT @PaulIzzo2: @HomSec @LyndaG1963 Honey pot Harf is the state dept version of pussy Paltrow,Non-offensive
RT @Pbn_Rico: Maury 65 years old and still exposing hoes.. &#128175;,Offensive
"RT @Pearls_N_Kisses: These hoes be acting up.. &amp; you know what, Imma let em..",Offensive
RT @PedroBALLOUT: &#8220;@ApeezyBaby: New Year's Eve bitches be like ... #nye14 #drunkinlove #beyonce https://t.co/fsGa5WtKxn&#8221;,Offensive
RT @PenguinGraham: Someone who claims they're a bad bitch shouldn't get offended so easily.,Offensive
RT @Permatrippin: How i eat the pussy http://t.co/kdFHDx8yDT,Offensive
RT @Persianboi10: #YesAllMen these hoes ain't loyal,Offensive
RT @Perspective_pic: Retweet if you see the bird. http://t.co/o7reXL0teu,Non-offensive
RT @Petahhdagod: bitch http://t.co/GLUuG7qz2p,Offensive
RT @PeteRose_14: On this day 1941 the #Yankees Joe DiMaggio goes 0 for 3 with a walk vs Cleveland #Indians to end his 56 game hitting streak,Non-offensive
RT @PeterpandaCat: @savanigga Sav is a fag,Offensive
RT @Peteypab620: Eddy and teezy get no pussy so I don't know why they always talking about that shit. They've never taken anyone's girl eit&#8230;,Offensive
RT @Peteypab620: S/O yo bitch http://t.co/Gqf2doMbTD,Offensive
RT @Pettigrew33: Don't trust hoes they ain't loyal !,Offensive
"RT @PhillyDaBoss323: LOL favorite line tho ---&gt; RT @_bendoneit
You say no to ratchet pussy, juicy j cant.",Offensive
"RT @PhillyTheBoss: ""Eating pussy"" ... makes sense. RT @Minnie__804: Y'all gotta grow up. Food and sex go hand n hand.",Offensive
RT @PhuckedFame: Thick red bones in style or nah? &#127817; http://t.co/Cfhis3L8bT,Offensive
RT @Phuneas: Going as Candace for Halloween lmao ugly bitch,Offensive
"RT @PickinUpGirls: It goes from ""baby"" to ""hoe"", "" I love you"" to "" Fuck you I hate you"", "" I need you"" to "" Fuck off"" from "" You're my eve&#8230;",Offensive
RT @PimpSquadJones: My main bitch &amp; my side bitch mad @ me i could by give 2 fucks,Offensive
RT @PimpUncleJoe: #MyGoalFor2012 UnHoe these bitches,Offensive
RT @Pimp_TigerWoods: Rickie Shitstache &amp; the rest of these pussies better enjoy this back injury. 2015 will be nothing but birdie putts and&#8230;,Offensive
"RT @PimpinNPanderin: Cleary dark skinned niggas fuck better than light skinned niggas...
The proofs in the bitch face&#128528;&#128528; http://t.co/MVgT4l8&#8230;",Offensive
"RT @Pinche_Adina: ""@StayWavyBruh: These hoes getting pregnant just to put some shit like ShaqualidaeMommy, BarackeishaMommy in they IG Bio&#8230;",Offensive
RT @PinkDuckTwist: LMFAO WTF &#8220;@MakeMeSpazz: &#8220;@TheKingSimp: Niggas on here really retarded http://t.co/arhySCAMu6&#8221; &#128553;&#128514;&#9996;&#65039; I'm tf out!!&#8221;,Offensive
"RT @PinkSapph: If a hoe is talking to your man, she's not the problem, he is. The fact that hoes feel welcomed reflects on how he acts behi&#8230;",Offensive
RT @PinkieDeville: &#8220;@Capt_Slapa_Ho: Fat bitches are rapist&#8221; &#128557;&#128557;&#128557;,Offensive
RT @PinkkGlock: &#8220;@Coled_Marley: These bitches marrying niggas who got life sentences in jail &#128530;&#128530;&#128530;&#8221; stupid,Offensive
RT @Pinkypromise_12: Lmao these niggas act like lil bitches,Offensive
"RT @PizzaBeforeHoes: Move dat muscle hoe &#128548; 
""Tell me watchu mad foe""&#128170;&#128514; https://t.co/wlvTLgGDPg",Offensive
"RT @PlMPCESS: A silent protest in Philadelphia, performance artists protest the murder of Mike Brown while passerby's mock it. http://t.co/&#8230;",Non-offensive
"RT @PlMPCESS: In the fashion world ""urban"" definitely means ""stolen from black people"" it's ghetto on us, and urban on them haha http://t.c&#8230;",Non-offensive
RT @PlMPCESS: im so fucking done with @sprint i fucking hate you guys and your insurance policy is trash and omg square the fuck up,Offensive
RT @PlainBlack_D: Get these trash ass niggas outta my stadium!!! &#128514;&#128514;&#128514;,Offensive
"RT @PluggedInPiff: @ThoughtsOfRandy stop following ""bad bitches"" and ya won't get spammed",Offensive
RT @PluggedInPiff: Green azz niggas!!!! &amp; yall new bitches condone dat sucka activity dat why they keep doin it!!!,Offensive
RT @Plurizard: I don't burn bridges.. tf I look like holding a grudge and being a lil bitch. Shit happens. You'll be fine.,Offensive
"RT @PoeticGenius19: You go back and forth with a girl, youre a ""bitch"" you let her disrespect, youre a ""bitch"" LOL",Offensive
RT @PoiiNtGuaRd: Them bitches prolly had to pay Beyonc&#233; 100 million to perform 5 minutes &#128530;,Offensive
RT @Pointdexter: Charlie Sheen gets it http://t.co/DKk6YjTJfU,Non-offensive
RT @Pointstacked: Follow this fag @ShinSnipes it's his birthday today,Offensive
"RT @PoisonedKissx3: This white boy reached 999 in flappy bird, im so done with life...",Non-offensive
"RT @PolitiBunny: #YesWeDid attack, harass, threaten, mock and bully any woman or minority who dared not fall in line with our progressive a&#8230;",Offensive
RT @PoliticalLaughs: Liberal Head Explosion: WW2 Navajo Code Talkers Appear in Redskins Jackets. #redskins http://t.co/ouxoQDHmID,Non-offensive
"RT @PolliePopThaDJ: Hahahaha he missed the shit out that hoe!!!!!!!!!!

#Houston Texans",Offensive
"RT @Poochda63: After sex a bitch be like ""so what are we?"" And you like ""probably parents cause I ain't pull out""",Offensive
RT @Poochda63: I go to take the trash out and a darkskin nigga stole my damn garbage,Offensive
RT @Poochda63: They're YOUNG LADIES RT @BodiedXO: @Poochda63 you got hoes,Offensive
RT @PoohSavage: @Thompson_Era cuff her crazy boy you might not ever find another especial not these dirty crew fucking party hoes out here &#8230;,Offensive
RT @PoohSavage: @Thompson_Era fr mane on some 100 shit cuff her if she made you that happy in one night cause these hoes for everybody fr,Offensive
RT @Pooh_foe: Niggaz talk more than bitches these days..,Offensive
RT @PookieHuny: #EndoftheWorldConfessions I follow all of these retards on Twitter because they're all a bunch of morons &amp; I need g ...,Offensive
RT @PopeBeLoud: &#8220;@GrandHustla_: Everybody got at one bitch on dey insta TL who got a baby &amp; it gets NO likes... Y'all fucked up ! &#128514;&#8221; lmao t&#8230;,Offensive
RT @PornAndCole: Side bitch or main bitch you still ain't the ONLY bitch. &#128079;&#128175;&#128175;,Offensive
RT @PornPunter: I love how sweet girls have sweet pussies http://t.co/JprbhUXfdP,Offensive
RT @Pornhub: Good pussy will change your life.,Offensive
"RT @Positivital: somewhere between ""i need therapy"" and ""bitch, im fine""",Offensive
"RT @PostPrettyPussy: Eat it with milk RT @80sbaby4life: ""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy &#8230;",Offensive
RT @Pouyalilpou: i got bitches an i know some killlllllas fuck y'all,Offensive
RT @Pouyalilpou: this bitch is no help at all http://t.co/Fk5VZaLC54,Offensive
RT @PowBlocks: @WaldoKillz3 @hidalgoparadise @D_41395 @olgadontshred lmao that hashtag had me dying princess hoe needs to get a Twitter lol,Offensive
"RT @PowPowTheeEnd: Fucked all of tyga bitches ""@karyewest: 6God http://t.co/ltT5R4DRwL""",Offensive
"RT @PowerCumminMax: Green/yellow fuel pump&gt;&gt;&gt;&gt;&gt;
#dieselstation",Non-offensive
RT @PreeMasterFlex_: Females be 14 acting 18 &#128684;&#128138;. Turning up like they 21 &#127867;&#127864;. Throwing the pussy like they 25 &#128049;&#128166;... But still can't pass Alg&#8230;,Offensive
RT @PresidentRJRock: Fuck you bitch I'm actin brand new &#128526;,Offensive
RT @PrettyFlyyHippy: If you can stick one finger in your pussy and feel all 4 walls . Your still tight &#128076;,Offensive
RT @PrettyMillz: My car insurance is trash !!!,Offensive
RT @Pretty_N_Purrls: To my EX that bitch can have you. &#128080;,Offensive
RT @PrettyndHated: Everybody pregnant . You bitches waste no time,Offensive
"RT @Priceless_KP: It ain nun to cut dat bitch awf 

- Verizon",Offensive
RT @Prima_Doma: Then he just got too basic. &amp; the hoes loved it... From then on he made them his focal audience.,Offensive
RT @PrinceTooTrippy: these hoes swear boy,Offensive
"RT @PrinceVelly: I feel sorry for da females that dont get what they deserve, while these hoe bitches get treated like queens &#128543;&#128543;&#128543;&#128543;&#128543;",Offensive
RT @Princeeric11: #ReasonsIUnfollowedYou You unfollowed me first bitch,Offensive
"RT @Princessofwifi: ""Stop being such a bitch""
Me: http://t.co/RGg9IduVsi",Offensive
"RT @PrincexFbgm: Lonely twitter bitches be like 

#relationshipgoals &gt;&gt;&gt;&gt;&gt; http://t.co/9z9PxVnf89",Offensive
RT @Prinncesskimm_: All my bitches attractive,Offensive
"RT @PriyaOhol: In Hopes of Recruiting More Women, ISIS Opens Jihadi Finishing School http://t.co/yKyFIJZgSI @aekulze @vocativ http://t.co/a&#8230;",Offensive
RT @ProBirdRights: A marry between a man and woman people sloppery slop;then what is prevent a bird from marriage my sandwich??? I'm in lo&#8230;,Non-offensive
RT @ProBirdRights: Advice tip for people: 1 stick hand in glue 2 stick hand in feather 3 now you are like bird. Impress your friend.,Non-offensive
"RT @ProBirdRights: dear Mr. Science: If human so ""better,"" how come they can't be bird? oh I'm sorry was that too LOGIC for you????",Offensive
"RT @ProBirdRights: i see you again didn't election bird for government, america. that okay. i guess i just take this free cookie for everyo&#8230;",Non-offensive
RT @Professor_Ryan: I thought it was raining because of the sound on the roof but it was just birds exploding from the heat.,Non-offensive
"RT @Prophzilla: @StonerNan @VigxRArts @Bewbzy yea m8, fire crotch igniting your sisters pussy since '06",Offensive
RT @ProudlyLiberal2: Charlie Crist wins Democratic primary http://t.co/FunqXo8O4O,Non-offensive
"RT @PurelyFootball: Well done to @kimabakken who correctly answered Almeria. 26 yellow, and 1 red card so far this season.",Non-offensive
RT @PurpleCaine: Somebody get my nigga. @Rvm3o some pussy cuz this nigga dont get no ass so imma need one of my hoes to slide in my nigga &#8230;,Offensive
"RT @Pusha_TeeWat: Niggas fight in the NBA and they're called ""ghetto"" &amp; ""don't know how to act"" but there's a brawl in NASCAR and nobody sa&#8230;",Offensive
RT @PvTruest: #Nevertrustabitch never trust a bitch who has a fresh copy of master p album,Offensive
RT @PzFeed: Diplomatic trolling: Russian embassy mocks NATO's satellite pictures http://t.co/xklXbYxZbG,Non-offensive
RT @QtipTheAbstract: Derek Jeter ... A class act... A great Yankee... A 1st ballot Hall of Fame inductee to be,Non-offensive
"RT @QueenBitchhhh_: I'm scared to lose you, cause I know you get bitches.",Offensive
RT @QueenHoneyC: All you hoes is still gon' be hoes tomorrow.,Offensive
RT @QueenHoneyC: And too short to fuck boring hoes RT @mxchaelji: life's too short to wear boring clothes,Offensive
RT @QueenReenie_: How bitch how? &#8220;@_Vontethekidd: How is this ok? http://t.co/tBm1dIL55n&#8221;,Offensive
RT @Queen_Quita_: &#127908;&#128553;I just touchdown on pussy nigga!,Offensive
"RT @QuilaTheDiva: After the age of 21 its about credit scores, future plans and creating assets. Not cars, clothes, niggas/bitches, clubs, &#8230;",Offensive
"RT @QuinTheGreat: &#8220;@Lucki_Starr: When you accidentally say ""About a week ago"" http://t.co/JHBQhPUP2m&#8221; bitch u just wanted to show Ya ass smh",Offensive
RT @Quis_2TurntUp: &#8220;@1017_Sqquad: Iont got no type&#8221;bad bitches is the only thing that I like &#128111;&#128131;&#128131;,Offensive
"RT @QuotingHistory: ""Gave that bitch some chocolate, bitches love chocolate."" - Forrest Gump",Offensive
RT @QwestsideFoolay: &#8220;@MiraGotTheJUICE: Woah did this bitch say love?&#128566;&#128514;&#128514;&#128557;&#128557; http://t.co/1NZDVTQSUy&#8221; &#128514;&#128514;&#128514;,Offensive
RT @Qwyenton: Dat ghetto shit aint attractive,Offensive
RT @RAAnonsense: I&#8217;m to the point where I&#8217;ll take a manual RT and not bitch about it.,Offensive
RT @RAYCHIELOVESU: I just don't understand the grey area of being a hoe but lying about it. Like close your legs OR just be about that life&#8230;,Offensive
"RT @RAYCHIELOVESU: No &#8220;@3rdeyechillin: That really happens ?

""@opnminds: who doesn&#8217;t like it when a random bad bitch hits you up just to s&#8230;",Offensive
RT @RBK_STEVIEJ: I dont respect nun about a bitch cause idgaf bout des hoes,Offensive
RT @RBK_STEVIEJ: I love a bitch wit sum nice teeth n lips&#128524;,Offensive
RT @REAL_Kaysavage: @1stBlocJeremiah my bitch,Offensive
"RT @RIPTheOGKooLAiD: Females will mess with a guy who has a girlfriend but won't mess with a single guy cause he has ""too many hoes""",Offensive
RT @RIP_ALMIGHTY: @Tonyjohns000 stupid bitches can't handle the johns,Offensive
RT @RIPvuhsace: I deadass took this after i ate a darkskin bitch pussy the other day #NeverAgain http://t.co/IZFLyUDuGS,Offensive
RT @RIPvuhsace: I hate taking a shit at public places bc i feel like a faggot when im placing the toilet paper on the toilet seat,Offensive
RT @RIPvuhsace: Math is fucking useless.... algebra 2 not gon help me pull bitches the fuck....,Offensive
RT @RIPvuhsace: Mayweather a lil bitch this nigga out here dancing,Offensive
RT @RIPvuhsace: Most of yall females boring as fuck then yall wonder why niggas only talk about havin sex bc theres nothin else to talk abo&#8230;,Offensive
"RT @RIPvuhsace: Porn, the only place where a bitch gon be under the table sucking a niggas dick while he eating dinner with his parents.",Offensive
"RT @RJakaGunner: y'all so quick to say people ""worship"" celebrities. bitch, i love beyonc&#233;, her talent, her legacy and what she stands for &#8230;",Offensive
RT @RLE_Raider: Thanks Ravens 4 beating those fags. Now believe I don't give a fuck about you. I'm Raider Nation bitches. Thanks 4 pu ...,Offensive
"RT @RMcElhenney: New to the game but as I understand it, the first rule of soccer is ""whichever team acts more like a bitch shall be awarde&#8230;",Offensive
RT @RO4reals: &lt;--- trash at it's finest &#8220;@NichyTay: Ladies if you post a picture and don't get at least 15 niggas to favorite it then you t&#8230;,Offensive
RT @RTGIFS: DOMINIQUE Made Larry bird do a 360 lmaooo http://t.co/Vs6e3Z0C2u,Non-offensive
RT @RTNBA: 0 Love for these hoes http://t.co/nFxNhHw0dJ,Offensive
RT @RT_America: Russell Brand mocks Bill O'Reilly for proposing Berlin Wall against immigrants (VIDEO) http://t.co/WtzD2MIBf6 http://t.co/A&#8230;,Non-offensive
RT @RT_America: US Army removes &#8216;negro&#8217; as official reference to black people after public outrage http://t.co/qtiTEzE7Bh http://t.co/nudHr&#8230;,Non-offensive
RT @RWSurferGirl: Toss 'em out of office? Or just throw 'em in the trash? #trashbucketchallenge has politicians on the run at... https://t.&#8230;,Non-offensive
"RT @RWzr: Too many faithful girls are single, and too many hoes are taken.",Offensive
RT @Ra_Shia: Quotable RT @ChrissiBaxter: If my man ain't appreciating me this pussy DEFINITELY IS gonna end up in another nigga mouth. You &#8230;,Offensive
RT @RabehChararah1: They claiming bitches them my old hoes,Offensive
RT @RabehChararah1: Wack ass hoes,Offensive
"RT @Racheldoesstuff: ""You gotta have luuuuube/All ya really need is luuuube!""- Dental Dam Yankees",Non-offensive
RT @RachieSoul: These hoes ain't loyal,Offensive
RT @RackedUpShad: Bitch had me and my car all the way fucked up! &#128545;&#128548; had to cuss a bitch out via note! http://t.co/PKxB40JTTO,Offensive
RT @RaeRecum: These hoes ain't shit &#128514;&#128514;&#128175;,Offensive
"RT @RafiDAngelo: ""My pussy tastes like Pumpkin Spice Latte."" -- Lana Del Basic",Offensive
RT @RahleeFranklin: Them hoes so damn nice &#128175; http://t.co/jn0ieBdnZQ,Offensive
RT @RahleeFranklin: This bitch got a body like Trey Songz &#128514; http://t.co/KSiqmY4W8D,Offensive
RT @RahleeFranklin: don't cheat if she a down bitch,Offensive
"RT @RaiAllure: ""yo bitch chose me you aint a pimp you a FAIRY."" #ripPimpC",Offensive
RT @Rajput_Ramesh: Friends a Proud Hindu n ShivSainik brother shri Ramesh Jadhav was murdered by Jihadis plz help trend #RameshJadhav http:&#8230;,Non-offensive
"RT @RakwonOGOD: ""Fuck bitches , get money"" - A favorite nigga's line when a girl leave his ass for another man",Offensive
"RT @RakwonOGOD: ""You ugly anyway"" 
""You a hoe anyway"" - a nigga who just got curved but won't accept it",Offensive
RT @RakwonOGOD: &#8220;Bros before hoes&#8221; - a bro with no hoes,Offensive
"RT @RakwonOGOD: Bitches tweeting ""last night &gt;&gt;"" like they did something special except be hoes",Offensive
RT @RakwonOGOD: Lmaoo bitch what? http://t.co/2dhLgXcVg2,Offensive
RT @RakwonOGOD: Rare pic of trash posing with trash http://t.co/usGIAZSDWv,Non-offensive
RT @RakwonOGOD: U hoes going to church this morning like y'all wasn't busting it wide open for niggas about 4 hours ago,Offensive
RT @RakwonOGOD: When ya side hoe tryna act up http://t.co/ayfGKVdEZI,Offensive
RT @RakwonOGOD: i started fuckin with bitches who believe everything their horoscope say.they believe the dumbass horoscopes they gunna bel&#8230;,Offensive
RT @Ramen_Odicho: Assyria got hella hoes,Offensive
RT @Rameyhoe: 22. But we make it and this bitch sits on the couch and turns on Ice Age the movie and asks us if were hungry like we arent t&#8230;,Offensive
RT @Rameyhoe: If you curve me im just going to assume your pussy is trash and you were doing me a favor,Non-offensive
RT @RamonRoblesJr: Good morning Baton Rouge. @ajohnson_a having a nip of @MBMoonshine http://t.co/5JZH1BhWWk,Non-offensive
RT @Ranae_26: You bitches could never be nae ...let him tell you he love him some nae &#128143;&#128145;&#128081;,Offensive
RT @Randality: @WeDont_SmokeREG &#128514;she a dumb bitch smh,Offensive
RT @Randall_Jayy: &#8220;@_100D: I got hard dick for all dez bitches. I get all they numbers I don't call dez bitches.&#8221; LMAO RT,Offensive
RT @Ranger1325: I'm waiting for all of you little bitches that whined about Bush to start speaking up about Obama and his wars. #Syria,Offensive
"RT @RapBars_: Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life""",Non-offensive
"RT @RappersSaid: When Kanye said ""I don't need your pussy, bitch. I'm on my own dick."" http://t.co/6eeLUmjbme",Offensive
"RT @RappersSaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/ffPu1w&#8230;",Offensive
"RT @RappersSaid: When Tyler the Creator said ""Rape a pregnant bitch and tell my friends I had a threesome"" http://t.co/mBrtvpUaKt",Offensive
RT @RaqiThunda: The trick of reality tv is making tacky bitches seem classy &amp; badgering real women with real ethic into submission. It's a &#8230;,Offensive
RT @RareHipHopPic: Logic had me thinking Nikki was a bad bitch,Offensive
RT @RashadBF: Never trust a bitch that take quick ass showers!,Offensive
"RT @RashodJackson: Nobody cares, bitch",Offensive
"RT @Ratchet2English: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 &#8230;",Non-offensive
RT @RavenConnell: Being a hoe isn't a Halloween costume,Offensive
RT @RavenxMiyagi: you here good songs on the radio but it ain't about positivity its mainly bout hoe problems killing and/or moving weight,Offensive
"RT @RawstonGeorge: &#8220;@distilled9water: ""@wizzyjr https://t.co/OtZ0FGDVpR &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#8221; bitch gotta die 10,000 deaths. &#128534;&#128557;&#8221; &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; GTFOH",Offensive
"RT @RayHudson: Art thou the bird whom Man loves bestThe pious bird with t/ scarlet breast, Our Robin;that leaves these summer winds sobbing&#8230;",Non-offensive
"RT @RayIopez: ""make me ur wcw""

""how many girls do u talk to""

""am I ur side hoe""

""tweet about me so I know it's real"" http://t.co/LB274Gh&#8230;",Offensive
"RT @RayIopez: Niggas Be Like

&#128663;_____________&#128659;
Fuck! There go the 5'o

__&#128663;______&#128659;__
Be cool son

___&#128663;&#128659;_____
Man fuck 

___&#128659;___&#128663;____
bitch as&#8230;",Offensive
RT @RayIopez: When you're approaching your high score in flappy bird and die one pipe away http://t.co/bI1RQ6A1ur,Non-offensive
RT @RayIopez: taking out the trash at night http://t.co/qJiPw0sYeH,Non-offensive
RT @RayRayOspeciial: Hate a broke bitch and nigga,Offensive
RT @Rayban_Guwop: If money&#128181; was my girl&#128143; id stalk that bitch.&#128520;&#128270;&#128294;&#128064;&#128175;&#128174;&#127796;,Offensive
RT @RayyyZoR: I call this the 100gram sugar delight or a Heart Attack. It's a #PopTart #Twinkie &amp; a #HoneyBun http://t.co/s6ZnLVlvLI,Non-offensive
RT @ReIateThings: i hate when netflix stop &amp; asks if im still watchin like yes u think i got up &amp; started doin somethin with my life bitch &#8230;,Offensive
"RT @RealBobbyJay: If a mf really like you&#9786;&#65039;, they'll drop all their hoes&#128108;&#128109;, exes&#9995;&#128530;, &amp; groupies and focus only on you.. &#128107;",Offensive
RT @RealErik_95: Don't worry about my old bitch or my next bitch,Offensive
RT @RealJackNeisen: Damn... that's a cold ass honkie,Offensive
RT @RealJohnBrannon: bette fucking davis eyes bitch,Offensive
RT @RealJohnBrannon: check it out you gotta vodka soda &amp; a lemon on the bottom of that bitch ? thats cool,Offensive
RT @RealKidLegend: Being a hoe means FUCKIN a lot of people NOT TALKING to a lot of people! Y'all mufuckas be having shit mixed up! &#128530;&#9995;&#128175;,Offensive
RT @RealKiddSmyllz: I wonder if I can sue a bitch 4wasting my mf time,Offensive
